id,links
F27,"UC29,UC4,UC16,UC17,UC8,UC25,UC7,UC23,UC42,UC2,UC24,UC18,UC22,UC21,UC6,UC35,UC36,UC15,UC27,UC1"
F33,"UC2,UC27,UC23,UC19,UC29,UC36,UC6,UC17,UC4,UC1,UC7,UC16,UC25,UC42,UC8,UC24,UC15,UC22,UC21,UC18"
F10,"UC25,UC16,UC17,UC24,UC27,UC18,UC6,UC1,UC4,UC36,UC22,UC8,UC15,UC29,UC23,UC2,UC7,UC42,UC21,UC19,UC35"
F13,"UC4,UC36,UC7,UC8,UC6,UC40,UC17,UC1,UC15,UC22,UC25,UC35,UC42,UC16,UC18,UC23,UC29,UC31,UC21,UC2,UC24,UC19,UC27,UC32,UC14"
F47,"UC18,UC2,UC7,UC8"
F38,"UC7,UC36,UC1,UC33,UC25,UC24,UC2,UC6,UC23,UC14,UC32,UC40,UC15,UC4,UC16,UC31,UC35,UC21,UC18"
F6,"UC7,UC8,UC4,UC42,UC16,UC25,UC40,UC17,UC15,UC18,UC36,UC2,UC19"
F21,"UC2,UC24,UC25,UC1,UC35,UC27,UC36,UC8,UC18"
F34,"UC24,UC19,UC23,UC27,UC8,UC36,UC42,UC18,UC22,UC4,UC29,UC7,UC16,UC1,UC15,UC17,UC35,UC21,UC6,UC25,UC2"
F29,"UC35,UC1,UC15,UC42,UC23,UC36,UC17,UC6,UC2,UC29,UC19,UC22,UC4,UC27,UC24,UC7,UC25,UC8,UC18,UC21"
F35,"UC40,UC16,UC42,UC21,UC17,UC18"
